age,gender,category,amount,fraud
3,F,es_transportation,49.71,0
4,F,es_health,39.29,0
3,F,es_transportation,18.76,0
4,M,es_transportation,13.95,0
2,M,es_transportation,49.87,0
4,F,es_hyper,57.82,0
5,F,es_transportation,27.26,0
2,F,es_transportation,7.61,0
4,M,es_transportation,42.01,0
2,F,es_transportation,21.08,0
3,M,es_transportation,25.44,0
5,F,es_health,70.65,0
2,F,es_food,41.08,0
2,M,es_transportation,12.44,0
2,M,es_transportation,13.72,0
2,M,es_transportation,29.76,0
5,M,es_transportation,33.29,0
4,F,es_transportation,23.09,0
5,F,es_transportation,55.17,0
5,M,es_transportation,52.83,0
3,M,es_transportation,44.71,0
4,F,es_transportation,42.12,0
4,M,es_transportation,28.16,0
6,F,es_transportation,1.0998,0
2,F,es_transportation,3.03,0
6,F,es_transportation,65.79,0
2,F,es_transportation,29.34,0
4,M,es_food,16.33,0
3,F,es_transportation,40.57,0
2,M,es_transportation,20.77,0
5,F,es_wellnessandbeauty,57.73,0
3,M,es_transportation,18.06,0
1,F,es_health,87.59,0
6,M,es_health,188.36,0
4,M,es_transportation,13.57,0
2,F,es_transportation,31.88,0
2,F,es_transportation,40.02,0
2,F,es_transportation,21.34,0
2,F,es_transportation,59.87,0
5,F,es_transportation,56.09,0
5,M,es_transportation,68.38,0
5,F,es_transportation,19.36,0
2,M,es_transportation,17.08,0
2,F,es_transportation,3.73,0
3,F,es_transportation,43.21,0
2,F,es_transportation,23.81,0
4,M,es_transportation,9.05,0
3,F,es_transportation,7.12,0
3,F,es_fashion,65.76,0
4,M,es_transportation,22.08,0
2,F,es_transportation,18.58,0
2,F,es_health,95.41,0
2,F,es_transportation,14.46,0
4,M,es_transportation,46.03,0
4,F,es_transportation,14.86,0
4,M,es_transportation,52.79,0
2,F,es_transportation,22.19,0
4,M,es_transportation,26.45,0
4,M,es_transportation,48.38,0
3,F,es_transportation,4.54,0
1,M,es_transportation,2.27,0
3,F,es_transportation,43.03,0
6,M,es_transportation,12.18,0
3,M,es_transportation,32.41,0
5,M,es_transportation,32.05,0
2,F,es_transportation,12.68,0
4,F,es_transportation,15.67,0
2,F,es_transportation,23.95,0
6,M,es_health,8.14,0
3,M,es_transportation,1.0998,0
3,M,es_transportation,36.83,0
4,M,es_transportation,26.12,0
1,F,es_transportation,17.41,0
4,M,es_transportation,10.43,0
2,F,es_transportation,53.63,0
1,M,es_health,188.94,0
5,M,es_hotelservices,228.05,0
3,M,es_transportation,14.23,0
4,F,es_transportation,4.83,0
2,F,es_transportation,28.54,0
4,M,es_transportation,13.01,0
3,F,es_fashion,1.31,0
5,F,es_food,51.02,0
6,M,es_transportation,19.87,0
6,F,es_health,95.43,0
1,F,es_transportation,57.12,0
3,F,es_transportation,30.58,0
2,F,es_transportation,44.65,0
3,M,es_transportation,28.09,0
4,F,es_transportation,28.98,0
3,M,es_wellnessandbeauty,88.74,0
2,F,es_hotelservices,48.89,0
2,F,es_transportation,39.37,0
6,F,es_transportation,48.57,0
1,F,es_hyper,13.74,0
3,F,es_transportation,43.32,0
4,F,es_transportation,26.52,0
2,F,es_transportation,27.95,0
2,F,es_transportation,17.06,0
1,M,es_fashion,103.79,0
3,M,es_transportation,31.1,0
4,M,es_transportation,32.31,0
4,F,es_transportation,16.98,0
3,M,es_transportation,36.01,0
6,F,es_transportation,47.88,0
3,F,es_transportation,25.28,0
4,M,es_transportation,44.51,0
3,M,es_hyper,50.84,0
4,M,es_fashion,18.97,0
6,F,es_transportation,48.79,0
2,F,es_transportation,30.01,0
2,M,es_transportation,30.92,0
2,M,es_transportation,6.26,0
2,M,es_transportation,8.1,0
4,M,es_transportation,38.18,0
1,M,es_transportation,21.22,0
2,F,es_transportation,1.0998,0
5,M,es_transportation,71.5,0
1,F,es_transportation,10.3,0
2,F,es_transportation,28.61,0
2,F,es_health,75.48,0
1,M,es_transportation,9.14,0
4,M,es_transportation,40.11,0
4,M,es_transportation,1.99,0
4,F,es_transportation,4.11,0
4,F,es_transportation,29.23,0
1,F,es_transportation,28.7,0
2,M,es_transportation,6.24,0
5,M,es_transportation,6.72,0
2,M,es_wellnessandbeauty,37.63,0
2,M,es_fashion,8.03,0
2,F,es_transportation,26.01,0
4,F,es_sportsandtoys,5.69,0
3,F,es_transportation,14.5,0
2,F,es_transportation,2.07,0
6,F,es_transportation,28.38,0
4,F,es_transportation,41.12,0
3,F,es_transportation,33.09,0
3,M,es_transportation,45.87,0
2,F,es_health,94.56,0
3,F,es_transportation,21.2,0
2,F,es_transportation,3.58,0
1,F,es_transportation,42.23,0
4,F,es_transportation,27.1,0
4,M,es_transportation,9.18,0
3,F,es_transportation,17.99,0
2,M,es_transportation,1.0998,0
4,M,es_transportation,18.1,0
3,F,es_transportation,39.91,0
4,F,es_transportation,19.71,0
2,F,es_food,47.31,0
4,F,es_transportation,12.99,0
2,F,es_transportation,2.88,0
1,F,es_transportation,32.71,0
2,M,es_transportation,27.06,0
2,M,es_transportation,23,0
1,M,es_transportation,7.38,0
1,F,es_wellnessandbeauty,52.75,0
3,F,es_transportation,6.81,0
3,F,es_transportation,14.78,0
3,F,es_transportation,21.52,0
2,M,es_transportation,62.77,0
3,F,es_transportation,22.9,0
3,M,es_transportation,32.36,0
5,F,es_transportation,57.81,0
3,F,es_transportation,3.71,0
2,F,es_transportation,50.29,0
3,F,es_transportation,59.09,0
3,M,es_transportation,4.75,0
4,M,es_transportation,37.81,0
