age,amount,fraud,M,es_barsandrestaurants,es_contents,es_fashion,es_food,es_health,es_home,es_hotelservices,es_hyper,es_leisure,es_otherservices,es_sportsandtoys,es_tech,es_transportation,es_travel
3,49.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,39.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,13.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,49.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,57.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,42.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,25.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,70.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,41.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,12.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,13.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,29.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,33.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,52.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,44.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,42.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,28.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,65.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,16.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,40.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,20.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,57.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,87.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,188.36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,13.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,31.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,40.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,59.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,56.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,68.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
