day,mean,std_err
82,25.425,1.447795
83,25.25,1.429051
84,25.425,1.435656
85,25.275,1.454728
86,25.025,1.438092
87,25.4,1.528398
88,25.75,1.625096
89,26.275,1.684483
90,26.5,1.647726
91,26.425,1.659024
92,26.95,1.649602
93,27.25,1.694015
94,27.4,1.708728
95,27.725,1.736731
96,27.4,1.764865
97,27.375,1.766595
98,27.75,1.744903
99,28.05,1.719357
100,27.85,1.742322
101,27.9,1.735223
102,28.125,1.710697
103,27.9,1.695877
104,27.6,1.725471
105,27.675,1.713326
106,27.75,1.709806
107,27.15,1.687287
108,26.75,1.727987
109,26.575,1.765958
110,26.325,1.799093
111,26.075,1.840987
112,26.4,1.819959
113,26.3,1.80942
114,25.725,1.765286
115,25.825,1.765605
116,26.35,1.731167
117,26.575,1.728036
118,26.5,1.743201
119,26.225,1.72282
120,26.325,1.728217
121,26.175,1.70693
122,25.675,1.654308
123,25.3,1.682335
124,24.95,1.688176
125,24.875,1.700804
126,24.5,1.745351
127,23.95,1.649981
128,23.475,1.52438
129,22.925,1.43326
130,22.925,1.43326
131,22.825,1.450382
132,22.425,1.412837
133,22.425,1.412837
134,22.05,1.363795
135,21.475,1.290827
136,21.8,1.289961
137,21.825,1.290294
138,21.475,1.274258
139,21.2,1.267971
140,21.125,1.277785
141,21.15,1.276984
142,20.925,1.279349
143,20.55,1.281088
144,20.725,1.273768
145,21.025,1.292037
146,20.775,1.291553
147,20.575,1.317141
148,20.625,1.309908
149,20.8,1.278769
151,20.85,1.271097
152,20.85,1.271097
153,20.525,1.265893
154,20.075,1.241666
155,19.975,1.245736
156,19.75,1.229202
157,19.3,1.196975
158,18.775,1.191893
159,18.725,1.201035
160,18.425,1.192103
161,17.975,1.14591
162,17.525,1.082813
163,17.5,1.079931
164,17.4,1.09476
165,17.375,1.095267
166,17.7,1.102384
167,17.85,1.082561
168,17.75,1.070485
169,17.675,1.049635
170,17.525,1.044622
171,17.75,1.080943
172,18.375,1.156875
173,18.525,1.171531
174,18.2,1.038147
175,18.15,1.03474
176,18.125,1.035729
177,17.9,1.005485
178,17.775,0.997176
179,17.95,1.008681
180,17.95,1.008681
181,17.925,1.012045
182,17.925,1.012045
183,18.05,1.013626
184,18.225,1.006533
185,17.9,1.02701
186,17.425,0.99366
187,17.25,1.014735
188,17.65,1.020141
189,17.775,1.01642
190,17.775,1.01642
191,17.9,1.012299
192,18.125,0.986906
193,18.225,0.983925
194,18.05,1.017319
195,18.075,1.016358
196,18.275,1.039824
197,18.9,1.152606
198,19.625,1.217419
199,19.9,1.187329
200,20.2,1.187013
201,20.475,1.182152
202,20.775,1.184529
203,20.975,1.205968
204,21.325,1.168004
205,21.225,1.183473
206,21.55,1.250975
207,22.1,1.296052
208,22.15,1.295931
209,22.025,1.287676
210,22.5,1.317194
211,22.55,1.324269
212,22.075,1.28617
213,21.925,1.283251
214,21.825,1.271263
215,21.825,1.271263
216,21.9,1.264812
217,22.025,1.263669
218,22.2,1.261547
219,22.125,1.261045
220,22.225,1.254735
221,22.4,1.230752
222,22.375,1.232217
223,22.475,1.233383
224,22.775,1.253738
225,22.875,1.229933
226,23.025,1.202335
227,23.35,1.149212
228,23.175,1.152111
229,23.025,1.174993
230,22.975,1.184529
231,23.1,1.180466
232,23.35,1.179274
233,23.475,1.174195
234,23.9,1.097611
235,23.925,1.093954
236,23.675,1.104189
237,23.775,1.142633
238,23.675,1.115453
239,23.775,1.11158
240,23.475,1.135775
241,23.275,1.146183
242,23.525,1.192155
243,23.5,1.189012
244,23.475,1.189531
245,23.475,1.189531
246,23.025,1.133847
247,22.825,1.088512
