,state,good,prop_selling
0,Alabama,Bakedgoods,0.760563
1,Alabama,Beans,0.084507
2,Alabama,Cheese,0.225352
3,Alabama,Coffee,0.197183
4,Alabama,Crafts,0.422535
5,Alabama,Eggs,0.591549
6,Alabama,Flowers,0.43662
7,Alabama,Fruits,0.760563
8,Alabama,Grains,0.098592
9,Alabama,Herbs,0.619718
10,Alabama,Honey,0.859155
11,Alabama,Jams,0.859155
12,Alabama,Juices,0.112676
13,Alabama,Maple,0.014085
14,Alabama,Meat,0.253521
15,Alabama,Mushrooms,0.056338
16,Alabama,Nursery,0.070423
17,Alabama,Nuts,0.267606
18,Alabama,PetFood,0.112676
19,Alabama,Plants,0.591549
20,Alabama,Poultry,0.197183
21,Alabama,Prepared,0.408451
22,Alabama,Seafood,0.056338
23,Alabama,Soap,0.535211
24,Alabama,Tofu,0.014085
25,Alabama,Trees,0.295775
26,Alabama,Vegetables,0.957746
27,Alabama,WildHarvested,0.098592
28,Alabama,Wine,0
29,Arizona,Bakedgoods,0.80303
30,Arizona,Beans,0.530303
31,Arizona,Cheese,0.484848
32,Arizona,Coffee,0.69697
33,Arizona,Crafts,0.636364
34,Arizona,Eggs,0.757576
35,Arizona,Flowers,0.454545
36,Arizona,Fruits,0.909091
37,Arizona,Grains,0.378788
38,Arizona,Herbs,0.787879
39,Arizona,Honey,0.787879
40,Arizona,Jams,0.818182
41,Arizona,Juices,0.484848
42,Arizona,Maple,0.181818
43,Arizona,Meat,0.484848
44,Arizona,Mushrooms,0.272727
45,Arizona,Nursery,0
46,Arizona,Nuts,0.530303
47,Arizona,PetFood,0.439394
48,Arizona,Plants,0.666667
49,Arizona,Poultry,0.409091
50,Arizona,Prepared,0.772727
51,Arizona,Seafood,0.318182
52,Arizona,Soap,0.787879
53,Arizona,Tofu,0.075758
54,Arizona,Trees,0.363636
55,Arizona,Vegetables,0.909091
56,Arizona,WildHarvested,0.227273
57,Arizona,Wine,0.090909
58,Arkansas,Bakedgoods,0.915254
59,Arkansas,Beans,0.135593
60,Arkansas,Cheese,0.20339
61,Arkansas,Coffee,0.389831
62,Arkansas,Crafts,0.830508
63,Arkansas,Eggs,0.864407
64,Arkansas,Flowers,0.745763
65,Arkansas,Fruits,0.864407
66,Arkansas,Grains,0.152542
67,Arkansas,Herbs,0.694915
68,Arkansas,Honey,0.847458
69,Arkansas,Jams,0.898305
70,Arkansas,Juices,0.118644
71,Arkansas,Maple,0.101695
72,Arkansas,Meat,0.508475
73,Arkansas,Mushrooms,0.169492
74,Arkansas,Nursery,0.016949
75,Arkansas,Nuts,0.237288
76,Arkansas,PetFood,0.254237
77,Arkansas,Plants,0.677966
78,Arkansas,Poultry,0.355932
