,state,num_markets,population,people_per_market
45,Vermont,92,626562,6810.456522
34,North Dakota,66,739482,11204.27273
8,District of Columbia,57,658893,11559.52632
50,Wyoming,49,584153,11921.4898
15,Iowa,228,3107126,13627.74561
29,New Hampshire,96,1326813,13820.96875
19,Maine,96,1330089,13855.09375
26,Montana,70,1023579,14622.55714
11,Hawaii,97,1419561,14634.64949
27,Nebraska,103,1881503,18267.01942
49,Wisconsin,309,5757564,18632.8932
1,Alaska,38,736732,19387.68421
48,West Virginia,93,1850326,19895.9785
21,Massachusetts,327,6745408,20628.15902
41,South Dakota,41,853175,20809.14634
6,Connecticut,158,3596677,22763.77848
25,Missouri,256,6063589,23685.89453
37,Oregon,167,3970239,23773.88623
16,Kansas,120,2904021,24200.175
12,Idaho,65,1634464,25145.6
7,Delaware,36,935614,25989.27778
3,Arkansas,109,2966369,27214.3945
23,Minnesota,197,5457173,27701.38579
31,New Mexico,72,2085572,28966.27778
22,Michigan,341,9909877,29061.22287
39,Rhode Island,36,1055173,29310.36111
32,New York,670,19746227,29471.9806
46,Virginia,260,8326289,32024.18846
17,Kentucky,137,4413457,32215.0146
5,Colorado,161,5355866,33266.24845
14,Indiana,195,6596855,33830.02564
0,Alabama,140,4849377,34638.40714
35,Ohio,333,11594163,34817.30631
40,South Carolina,135,4832482,35796.16296
20,Maryland,164,5976407,36441.5061
24,Mississippi,82,2994079,36513.15854
13,Illinois,337,12880580,38221.30564
33,North Carolina,256,9943964,38843.60938
38,Pennsylvania,309,12787209,41382.5534
47,Washington,170,7061530,41538.41177
42,Tennessee,131,6549352,49995.05344
4,California,760,38802500,51055.92105
36,Oklahoma,73,3878051,53123.9863
18,Louisiana,82,4649676,56703.36585
30,New Jersey,152,8938175,58803.7829
10,Georgia,163,10097343,61946.88957
44,Utah,45,2942902,65397.82222
2,Arizona,92,6731484,73168.30435
28,Nevada,38,2839099,74713.13158
9,Florida,263,19893297,75639.91255
43,Texas,226,26956958,119278.5752
