state,city,pollutant,value,year,month,day
Alaska,Fairbanks,CO,0.315,2014,7,182
Alaska,Fairbanks,NO2,4.1,2014,7,182
Alaska,Fairbanks,O3,0.017,2014,7,182
Alaska,Fairbanks,SO2,4.25,2014,7,182
Alaska,Fairbanks,CO,0.305,2014,7,183
Alaska,Fairbanks,NO2,4.2,2014,7,183
Alaska,Fairbanks,O3,0.016,2014,7,183
Alaska,Fairbanks,SO2,4.65,2014,7,183
Alaska,Fairbanks,CO,0.315,2014,7,184
Alaska,Fairbanks,NO2,6.1,2014,7,184
Alaska,Fairbanks,O3,0.021,2014,7,184
Alaska,Fairbanks,SO2,7.9,2014,7,184
Alaska,Fairbanks,CO,0.295,2014,7,185
Alaska,Fairbanks,NO2,14.0,2014,7,185
Alaska,Fairbanks,O3,0.03,2014,7,185
Alaska,Fairbanks,SO2,8.05,2014,7,185
Alaska,Fairbanks,CO,0.325,2014,7,186
Alaska,Fairbanks,NO2,10.9,2014,7,186
Alaska,Fairbanks,O3,0.035,2014,7,186
Alaska,Fairbanks,SO2,5.4,2014,7,186
Alaska,Fairbanks,CO,0.31,2014,7,187
Alaska,Fairbanks,NO2,6.7,2014,7,187
Alaska,Fairbanks,O3,0.02,2014,7,187
Alaska,Fairbanks,SO2,6.6,2014,7,187
Alaska,Fairbanks,CO,0.32,2014,7,188
Alaska,Fairbanks,NO2,5.5,2014,7,188
Alaska,Fairbanks,O3,0.018000000000000002,2014,7,188
Alaska,Fairbanks,SO2,4.949999999999998,2014,7,188
Alaska,Fairbanks,CO,0.295,2014,7,189
Alaska,Fairbanks,NO2,7.0,2014,7,189
Alaska,Fairbanks,O3,0.017,2014,7,189
Alaska,Fairbanks,SO2,4.8,2014,7,189
Alaska,Fairbanks,CO,0.225,2014,7,190
Alaska,Fairbanks,NO2,7.8,2014,7,190
Alaska,Fairbanks,O3,0.023,2014,7,190
Alaska,Fairbanks,SO2,3.45,2014,7,190
Alaska,Fairbanks,CO,0.29000000000000004,2014,7,191
Alaska,Fairbanks,NO2,11.4,2014,7,191
Alaska,Fairbanks,O3,0.021,2014,7,191
Alaska,Fairbanks,SO2,3.25,2014,7,191
Alaska,Fairbanks,CO,0.345,2014,7,192
Alaska,Fairbanks,NO2,8.4,2014,7,192
Alaska,Fairbanks,O3,0.016,2014,7,192
Alaska,Fairbanks,SO2,3.7,2014,7,192
Alaska,Fairbanks,CO,0.275,2014,7,193
Alaska,Fairbanks,NO2,5.3,2014,7,193
Alaska,Fairbanks,O3,0.022000000000000002,2014,7,193
Alaska,Fairbanks,SO2,4.1,2014,7,193
Alaska,Fairbanks,CO,0.205,2014,7,194
Alaska,Fairbanks,NO2,3.5,2014,7,194
Alaska,Fairbanks,O3,0.02,2014,7,194
Alaska,Fairbanks,SO2,5.4,2014,7,194
Alaska,Fairbanks,CO,0.2,2014,7,195
Alaska,Fairbanks,NO2,3.6,2014,7,195
Alaska,Fairbanks,O3,0.016,2014,7,195
Alaska,Fairbanks,SO2,3.25,2014,7,195
Alaska,Fairbanks,CO,0.205,2014,7,196
Alaska,Fairbanks,NO2,1.5,2014,7,196
Alaska,Fairbanks,O3,0.012,2014,7,196
Alaska,Fairbanks,SO2,3.05,2014,7,196
Alaska,Fairbanks,CO,0.235,2014,7,197
Alaska,Fairbanks,NO2,5.2,2014,7,197
Alaska,Fairbanks,O3,0.013999999999999999,2014,7,197
Alaska,Fairbanks,SO2,3.4,2014,7,197
Alaska,Fairbanks,CO,0.24,2014,7,198
Alaska,Fairbanks,NO2,7.3,2014,7,198
Alaska,Fairbanks,O3,0.013000000000000001,2014,7,198
Alaska,Fairbanks,SO2,4.9,2014,7,198
Alaska,Fairbanks,CO,0.225,2014,7,199
Alaska,Fairbanks,NO2,5.2,2014,7,199
Alaska,Fairbanks,O3,0.017,2014,7,199
Alaska,Fairbanks,SO2,4.85,2014,7,199
Alaska,Fairbanks,CO,0.225,2014,7,200
Alaska,Fairbanks,NO2,1.6,2014,7,200
Alaska,Fairbanks,O3,0.02,2014,7,200
Alaska,Fairbanks,SO2,3.5,2014,7,200
Alaska,Fairbanks,CO,0.215,2014,7,201
Alaska,Fairbanks,NO2,3.6,2014,7,201
Alaska,Fairbanks,O3,0.019,2014,7,201
Alaska,Fairbanks,SO2,4.35,2014,7,201
Alaska,Fairbanks,CO,0.235,2014,7,202
Alaska,Fairbanks,NO2,4.7,2014,7,202
Alaska,Fairbanks,O3,0.008,2014,7,202
Alaska,Fairbanks,SO2,4.15,2014,7,202
Alaska,Fairbanks,CO,0.275,2014,7,203
Alaska,Fairbanks,NO2,7.2,2014,7,203
Alaska,Fairbanks,O3,0.017,2014,7,203
Alaska,Fairbanks,SO2,5.4,2014,7,203
Alaska,Fairbanks,CO,0.22,2014,7,204
Alaska,Fairbanks,NO2,5.4,2014,7,204
Alaska,Fairbanks,O3,0.013999999999999999,2014,7,204
Alaska,Fairbanks,SO2,1.85,2014,7,204
Alaska,Fairbanks,CO,0.22,2014,7,205
Alaska,Fairbanks,NO2,4.1,2014,7,205
Alaska,Fairbanks,O3,0.017,2014,7,205
Alaska,Fairbanks,SO2,1.2999999999999998,2014,7,205
Alaska,Fairbanks,CO,0.21,2014,7,206
Alaska,Fairbanks,NO2,5.6,2014,7,206
Alaska,Fairbanks,O3,0.016,2014,7,206
Alaska,Fairbanks,SO2,1.95,2014,7,206
Alaska,Fairbanks,CO,0.215,2014,7,207
Alaska,Fairbanks,NO2,5.9,2014,7,207
Alaska,Fairbanks,O3,0.022000000000000002,2014,7,207
Alaska,Fairbanks,SO2,5.699999999999998,2014,7,207
Alaska,Fairbanks,CO,0.205,2014,7,208
Alaska,Fairbanks,NO2,5.8,2014,7,208
Alaska,Fairbanks,O3,0.016,2014,7,208
Alaska,Fairbanks,SO2,3.9,2014,7,208
Alaska,Fairbanks,CO,0.215,2014,7,209
Alaska,Fairbanks,NO2,7.6,2014,7,209
Alaska,Fairbanks,O3,0.019,2014,7,209
Alaska,Fairbanks,SO2,4.35,2014,7,209
Alaska,Fairbanks,CO,0.195,2014,7,210
Alaska,Fairbanks,NO2,8.3,2014,7,210
Alaska,Fairbanks,O3,0.016,2014,7,210
Alaska,Fairbanks,SO2,2.65,2014,7,210
Alaska,Fairbanks,CO,0.235,2014,7,211
Alaska,Fairbanks,NO2,10.6,2014,7,211
Alaska,Fairbanks,O3,0.022000000000000002,2014,7,211
Alaska,Fairbanks,SO2,4.2,2014,7,211
Alaska,Fairbanks,CO,0.245,2014,7,212
Alaska,Fairbanks,NO2,9.2,2014,7,212
Alaska,Fairbanks,O3,0.02,2014,7,212
Alaska,Fairbanks,SO2,3.1500000000000004,2014,7,212
Alaska,Fairbanks,CO,0.22,2014,8,213
Alaska,Fairbanks,NO2,6.1,2014,8,213
Alaska,Fairbanks,O3,0.017,2014,8,213
Alaska,Fairbanks,SO2,1.55,2014,8,213
Alaska,Fairbanks,CO,0.215,2014,8,214
Alaska,Fairbanks,NO2,2.5,2014,8,214
Alaska,Fairbanks,O3,0.017,2014,8,214
Alaska,Fairbanks,SO2,1.75,2014,8,214
Alaska,Fairbanks,CO,0.245,2014,8,215
Alaska,Fairbanks,NO2,7.2,2014,8,215
Alaska,Fairbanks,O3,0.022000000000000002,2014,8,215
Alaska,Fairbanks,SO2,4.0,2014,8,215
Alaska,Fairbanks,CO,0.395,2014,8,216
Alaska,Fairbanks,NO2,8.0,2014,8,216
Alaska,Fairbanks,O3,0.02,2014,8,216
Alaska,Fairbanks,SO2,15.65,2014,8,216
Alaska,Fairbanks,CO,0.245,2014,8,217
Alaska,Fairbanks,NO2,7.1,2014,8,217
Alaska,Fairbanks,O3,0.018000000000000002,2014,8,217
Alaska,Fairbanks,SO2,2.55,2014,8,217
Alaska,Fairbanks,CO,0.32,2014,8,218
Alaska,Fairbanks,NO2,7.8,2014,8,218
Alaska,Fairbanks,O3,0.021,2014,8,218
Alaska,Fairbanks,SO2,6.9,2014,8,218
Alaska,Fairbanks,CO,0.265,2014,8,219
Alaska,Fairbanks,NO2,10.4,2014,8,219
Alaska,Fairbanks,O3,0.023,2014,8,219
Alaska,Fairbanks,SO2,2.65,2014,8,219
Alaska,Fairbanks,CO,0.335,2014,8,220
Alaska,Fairbanks,NO2,14.1,2014,8,220
Alaska,Fairbanks,O3,0.022000000000000002,2014,8,220
Alaska,Fairbanks,SO2,2.85,2014,8,220
Alaska,Fairbanks,CO,0.71,2014,8,221
Alaska,Fairbanks,NO2,10.7,2014,8,221
Alaska,Fairbanks,O3,0.017,2014,8,221
Alaska,Fairbanks,SO2,2.5,2014,8,221
Alaska,Fairbanks,CO,0.205,2014,8,222
Alaska,Fairbanks,NO2,7.1,2014,8,222
Alaska,Fairbanks,O3,0.017,2014,8,222
Alaska,Fairbanks,SO2,3.1,2014,8,222
Alaska,Fairbanks,CO,0.215,2014,8,223
Alaska,Fairbanks,NO2,3.8,2014,8,223
Alaska,Fairbanks,O3,0.021,2014,8,223
Alaska,Fairbanks,SO2,3.6,2014,8,223
Alaska,Fairbanks,CO,0.32,2014,8,224
Alaska,Fairbanks,NO2,12.6,2014,8,224
Alaska,Fairbanks,O3,0.02,2014,8,224
Alaska,Fairbanks,SO2,2.55,2014,8,224
Alaska,Fairbanks,CO,0.365,2014,8,225
Alaska,Fairbanks,NO2,10.2,2014,8,225
Alaska,Fairbanks,O3,0.024,2014,8,225
Alaska,Fairbanks,SO2,3.1,2014,8,225
Alaska,Fairbanks,CO,0.265,2014,8,226
Alaska,Fairbanks,NO2,8.8,2014,8,226
Alaska,Fairbanks,O3,0.022000000000000002,2014,8,226
Alaska,Fairbanks,SO2,2.8,2014,8,226
Alaska,Fairbanks,CO,0.325,2014,8,227
Alaska,Fairbanks,NO2,13.0,2014,8,227
Alaska,Fairbanks,O3,0.023,2014,8,227
Alaska,Fairbanks,SO2,3.3,2014,8,227
Alaska,Fairbanks,CO,0.355,2014,8,228
Alaska,Fairbanks,NO2,9.0,2014,8,228
Alaska,Fairbanks,O3,0.024,2014,8,228
Alaska,Fairbanks,SO2,2.9,2014,8,228
Alaska,Fairbanks,CO,0.28500000000000003,2014,8,229
Alaska,Fairbanks,NO2,8.3,2014,8,229
Alaska,Fairbanks,O3,0.018000000000000002,2014,8,229
Alaska,Fairbanks,SO2,3.1,2014,8,229
Alaska,Fairbanks,CO,0.305,2014,8,230
Alaska,Fairbanks,NO2,6.4,2014,8,230
Alaska,Fairbanks,O3,0.016,2014,8,230
Alaska,Fairbanks,SO2,3.05,2014,8,230
Alaska,Fairbanks,CO,0.325,2014,8,231
Alaska,Fairbanks,NO2,9.5,2014,8,231
Alaska,Fairbanks,O3,0.016,2014,8,231
Alaska,Fairbanks,SO2,3.3,2014,8,231
Alaska,Fairbanks,CO,0.345,2014,8,232
Alaska,Fairbanks,NO2,5.2,2014,8,232
Alaska,Fairbanks,O3,0.018000000000000002,2014,8,232
Alaska,Fairbanks,SO2,4.7,2014,8,232
Alaska,Fairbanks,CO,0.325,2014,8,233
Alaska,Fairbanks,NO2,7.7,2014,8,233
Alaska,Fairbanks,O3,0.021,2014,8,233
Alaska,Fairbanks,SO2,3.0,2014,8,233
Alaska,Fairbanks,CO,0.39,2014,8,234
Alaska,Fairbanks,NO2,11.7,2014,8,234
Alaska,Fairbanks,O3,0.023,2014,8,234
Alaska,Fairbanks,SO2,8.65,2014,8,234
Alaska,Fairbanks,CO,0.29000000000000004,2014,8,235
Alaska,Fairbanks,NO2,7.5,2014,8,235
Alaska,Fairbanks,O3,0.024,2014,8,235
Alaska,Fairbanks,SO2,5.1,2014,8,235
Alaska,Fairbanks,CO,0.255,2014,8,236
Alaska,Fairbanks,NO2,11.4,2014,8,236
Alaska,Fairbanks,O3,0.023,2014,8,236
Alaska,Fairbanks,SO2,3.95,2014,8,236
Alaska,Fairbanks,CO,0.32,2014,8,237
Alaska,Fairbanks,NO2,7.5,2014,8,237
Alaska,Fairbanks,O3,0.02,2014,8,237
Alaska,Fairbanks,SO2,4.449999999999998,2014,8,237
Alaska,Fairbanks,CO,0.29000000000000004,2014,8,238
Alaska,Fairbanks,NO2,5.9,2014,8,238
Alaska,Fairbanks,O3,0.018000000000000002,2014,8,238
Alaska,Fairbanks,SO2,3.2,2014,8,238
Alaska,Fairbanks,CO,0.31,2014,8,239
Alaska,Fairbanks,NO2,7.8,2014,8,239
Alaska,Fairbanks,O3,0.024,2014,8,239
Alaska,Fairbanks,SO2,3.65,2014,8,239
Alaska,Fairbanks,CO,0.39,2014,8,240
Alaska,Fairbanks,NO2,9.3,2014,8,240
Alaska,Fairbanks,O3,0.015,2014,8,240
Alaska,Fairbanks,SO2,4.1,2014,8,240
Alaska,Fairbanks,CO,0.275,2014,8,241
Alaska,Fairbanks,NO2,6.0,2014,8,241
Alaska,Fairbanks,O3,0.021,2014,8,241
Alaska,Fairbanks,SO2,3.0,2014,8,241
Alaska,Fairbanks,CO,0.38,2014,8,242
Alaska,Fairbanks,NO2,14.8,2014,8,242
Alaska,Fairbanks,O3,0.025,2014,8,242
Alaska,Fairbanks,SO2,4.1,2014,8,242
Alaska,Fairbanks,CO,0.38,2014,8,243
Alaska,Fairbanks,NO2,12.3,2014,8,243
Alaska,Fairbanks,O3,0.026000000000000002,2014,8,243
Alaska,Fairbanks,SO2,3.95,2014,8,243
Alaska,Fairbanks,CO,0.27,2014,9,244
Alaska,Fairbanks,NO2,12.9,2014,9,244
Alaska,Fairbanks,O3,0.023,2014,9,244
Alaska,Fairbanks,SO2,3.25,2014,9,244
Alaska,Fairbanks,CO,0.265,2014,9,245
Alaska,Fairbanks,NO2,18.8,2014,9,245
Alaska,Fairbanks,O3,0.023,2014,9,245
Alaska,Fairbanks,SO2,3.3,2014,9,245
Alaska,Fairbanks,CO,0.315,2014,9,246
Alaska,Fairbanks,NO2,22.7,2014,9,246
Alaska,Fairbanks,O3,0.025,2014,9,246
Alaska,Fairbanks,SO2,4.45,2014,9,246
Alaska,Fairbanks,CO,0.31,2014,9,247
Alaska,Fairbanks,NO2,41.6,2014,9,247
Alaska,Fairbanks,O3,0.025,2014,9,247
Alaska,Fairbanks,SO2,5.300000000000002,2014,9,247
Alaska,Fairbanks,CO,0.71,2014,9,248
Alaska,Fairbanks,NO2,48.2,2014,9,248
Alaska,Fairbanks,O3,0.025,2014,9,248
Alaska,Fairbanks,SO2,8.35,2014,9,248
Alaska,Fairbanks,CO,0.38,2014,9,249
Alaska,Fairbanks,NO2,52.0,2014,9,249
Alaska,Fairbanks,O3,0.025,2014,9,249
Alaska,Fairbanks,SO2,6.65,2014,9,249
Alaska,Fairbanks,CO,0.355,2014,9,250
Alaska,Fairbanks,NO2,28.8,2014,9,250
Alaska,Fairbanks,O3,0.023,2014,9,250
Alaska,Fairbanks,SO2,5.65,2014,9,250
Alaska,Fairbanks,CO,0.385,2014,9,251
Alaska,Fairbanks,NO2,67.0,2014,9,251
Alaska,Fairbanks,O3,0.022000000000000002,2014,9,251
Alaska,Fairbanks,SO2,5.949999999999998,2014,9,251
Alaska,Fairbanks,CO,0.48,2014,9,252
