day,mean,std_err
25,2.56,0.452831
26,2.44,0.452831
27,2.44,0.452831
28,2.44,0.452831
29,2.4,0.452548
30,2.36,0.452124
31,2.4,0.448999
32,2.32,0.451557
33,2.32,0.451557
34,2.32,0.451557
35,2.36,0.452124
36,2.56,0.486884
37,2.56,0.486884
38,2.68,0.495484
39,2.64,0.496
40,2.2,0.25923
41,2.24,0.260952
42,2.2,0.26533
43,2.12,0.27897
44,2.08,0.28239
45,2.08,0.28239
46,2.12,0.27897
47,2.12,0.27897
48,2.16,0.275274
49,2.12,0.284647
50,2.04,0.29654
51,2.04,0.29654
52,2.04,0.29654
53,2.04,0.29654
54,2.04,0.29654
55,2.28,0.377444
56,2.24,0.380652
57,2.24,0.380652
58,2.2,0.383667
59,2.16,0.386492
60,2.08,0.387484
61,1.84,0.333131
62,1.8,0.329848
63,1.68,0.303157
64,1.68,0.303157
65,1.68,0.303157
66,1.56,0.305051
67,1.56,0.305051
68,1.64,0.29869
69,1.76,0.311281
70,1.88,0.321596
71,1.8,0.329848
72,1.88,0.340916
73,1.88,0.340916
74,1.96,0.332169
75,2,0.324962
76,2.08,0.324567
77,2.04,0.327316
78,1.92,0.334281
79,1.88,0.33619
80,1.6,0.226274
81,1.64,0.225424
82,1.64,0.225424
83,1.64,0.225424
84,1.64,0.225424
85,1.64,0.225424
86,1.64,0.225424
87,1.6,0.226274
88,1.56,0.226839
89,1.56,0.226839
90,1.52,0.227121
91,1.56,0.219672
92,1.52,0.227121
93,1.48,0.227121
94,1.36,0.203017
95,1.2,0.178885
96,1.24,0.172325
97,1.12,0.130476
98,1.16,0.146205
99,1.16,0.146205
100,1.16,0.146205
101,1.08,0.125475
102,1.12,0.130476
103,1.2,0.126491
104,1.24,0.129985
105,1.2,0.138564
106,1.16,0.134818
107,1.16,0.134818
108,1.16,0.134818
109,1.12,0.142211
110,1.12,0.142211
111,1.24,0.181373
112,1.28,0.183478
113,1.28,0.183478
114,1.24,0.181373
115,1.24,0.181373
116,1.32,0.193659
117,1.44,0.196611
118,1.44,0.196611
119,1.44,0.196611
120,1.48,0.188637
121,1.48,0.188637
122,1.44,0.196611
123,1.36,0.18659
124,1.32,0.185213
125,1.32,0.185213
126,1.32,0.185213
127,1.28,0.183478
128,1.24,0.181373
129,1.2,0.178885
130,1.28,0.174539
131,1.28,0.174539
132,1.28,0.174539
133,1.28,0.174539
134,1.28,0.174539
135,1.24,0.181373
136,1.12,0.142211
137,1.04,0.144
138,1.04,0.144
139,1.04,0.144
140,1,0.149666
141,0.88,0.130476
142,0.76,0.10245
143,0.72,0.106132
144,0.68,0.109105
145,0.64,0.111427
146,0.64,0.111427
147,0.68,0.109105
148,0.64,0.111427
149,0.6,0.113137
150,0.56,0.114263
151,0.52,0.114822
152,0.48,0.114822
153,0.48,0.114822
154,0.48,0.114822
155,0.4,0.09798
156,0.36,0.096
157,0.32,0.093295
158,0.28,0.0898
159,0.28,0.0898
160,0.28,0.0898
161,0.24,0.085417
162,0.32,0.109105
163,0.32,0.109105
164,0.28,0.106132
165,0.28,0.106132
166,0.28,0.106132
167,0.32,0.109105
168,0.36,0.111427
169,0.4,0.113137
170,0.4,0.113137
171,0.36,0.111427
172,0.36,0.111427
173,0.36,0.111427
174,0.36,0.111427
175,0.4,0.113137
176,0.4,0.113137
177,0.4,0.113137
178,0.36,0.111427
179,0.32,0.109105
180,0.32,0.109105
181,0.36,0.111427
182,0.36,0.111427
183,0.4,0.113137
184,0.4,0.113137
185,0.4,0.113137
186,0.4,0.113137
187,0.32,0.093295
188,0.32,0.093295
189,0.32,0.093295
190,0.32,0.093295
191,0.32,0.093295
192,0.28,0.0898
193,0.24,0.085417
194,0.24,0.085417
195,0.24,0.085417
196,0.24,0.085417
197,0.24,0.085417
198,0.24,0.085417
201,0.24,0.085417
202,0.2,0.08
203,0.2,0.08
204,0.2,0.08
205,0.2,0.08
206,0.24,0.085417
207,0.28,0.0898
208,0.28,0.0898
209,0.28,0.0898
210,0.24,0.085417
211,0.24,0.085417
212,0.24,0.085417
213,0.32,0.109105
214,0.36,0.111427
215,0.32,0.109105
216,0.32,0.109105
