,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
237,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,175.35,NaN,NaN,General Purpose School,NaN
466,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,43424.91,NaN,NaN,General Fund,NaN
784,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,STAFF DEV AND INSTR MEDIA,0,INST STAFF TRAINING SVCS,NaN,NaN,75.09,NaN,NaN,GENERAL FUND,TEACHER TRAINING
1786,TERMINAL LEAVE VACATION,NaN,NaN,INSPECTOR & SERVICE TECHNICIAN,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,5274.806,NaN,NaN,GENERAL FUND,TERMINAL LEAVE
2643,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Principal & Asst. Principal Support,Educator Quality,NaN,Curriculum & Instructional Staff Development,NaN,NaN,44789.33,NaN,NaN,General Fund,NaN
3602,Professional Salaries,Accelerated Education,NaN,CELL PHONE,NaN,General,Learning Support Services,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,436.7974,NaN,NaN,General Fund,NaN
5196,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,35747.51,NaN,NaN,General Fund,NaN
5233,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,59.49,NaN,NaN,GENERAL FUND,INTENSIVE READING DOP - SAI
6496,Professional Salaries,Undistributed,NaN,PROJ DIR,NaN,General,State/Federal Compliance & Accountability,0.102,Instructional Leadership,NaN,NaN,11436.6,NaN,NaN,General Fund,NaN
8074,Student Meals/Room/Other,High School Allotment,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5000.38,NaN,NaN,General Fund,NaN
9209,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,Student Services,NaN,General Administration,NaN,NaN,300.61,NaN,NaN,General Fund,NaN
9817,Professional Salaries,Prekindergarten,NaN,COUNS- ELEM,NaN,Overcrowding,Pre-K Center,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,29221.37,NaN,NaN,General Fund,NaN
13881,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST COACH,NVFB",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,4570.167,NaN,NaN,Athletics,NaN
13896,Food/Refreshment,Undistributed,NaN,NaN,NaN,Intergovernment Relation,Legal Services,NaN,General Administration,NaN,NaN,249.73,NaN,NaN,General Fund,NaN
13933,NaN,Accelerated Education,NaN,NaN,NaN,Distributed from departments,State/Federal Compliance & Accountability,NaN,Instruction,NaN,NaN,23896.24,NaN,NaN,Title I- Part A,NaN
14337,Professional Salaries,Special Education,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,0.36,NaN,NaN,IDEA-B Formula,NaN
16001,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,34837.79,NaN,NaN,General Fund,NaN
16249,Salaries And Wages For Teachers And Other Professi,PRE-K,State Ed. Allotment,"TEACHER, PRE-K",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.5,Instruction,TEACHER BACHELOR,NaN,26755.11,NaN,NaN,General Operating Fund,REGULAR PAY
16307,EXTRA DUTY PAY-INSTRUCTIONAL,NaN,NaN,"TEACHER, FIFTH",NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,1949.88,NaN,NaN,GENERAL FUND,LOCAL ALLOC SAI
17098,Personal Services - Other Compensation,Support - TAP,NaN,NaN,NaN,NaN,NaN,0,NaN,TIME CARD CERTIFIEDAddl,Teacher Advancement Program (TAP),2311.32,NaN,NaN,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
17340,PARA PROFESSIONAL,NaN,NaN,ENRICHMENT ASSISTANT,NaN,NaN,CHARTER,0.5,BASIC (FEFP K-12),NaN,NaN,19834.8,NaN,NaN,CONVERSION CHARTER SCHOOLS,NaN
21426,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,31906.29,NaN,NaN,General Fund,NaN
21898,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,30291.71,NaN,NaN,General Fund,NaN
24106,Professional Salaries,Special Education,NaN,PHYS THERAPIST,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,57329.5,NaN,NaN,IDEA-B Formula,NaN
24206,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian H S",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-56.75,NaN,n/a,NaN,EMPLOYEE BENEFITS
24535,Employee Allowance,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,0.17,NaN,NaN,General Fund,NaN
25753,OTHER PERSONAL SERVICES,NaN,NaN,FOOD SERVICE ASSISTANT,NaN,NaN,School,0,FOOD SERVICE,NaN,NaN,63.92,NaN,NaN,FOOD SERVICES,NaN
26418,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian Elem",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-92.16,NaN,n/a,NaN,EMPLOYEE BENEFITS
26913,Salaries for Support Personnel,Undistributed,NaN,REGISTRAR IV,NaN,General,School,1,School Leadership,NaN,NaN,60238.87,NaN,NaN,General Fund,NaN
27069,TELEPHONE/FACSIMILE SERVICES,PUBLIC COMMUNICATIONS SERVICES,GENERAL FUND,(blank),NaN,NaN,PUBLIC INFORMATION AND SERVICE,NaN,NON-PROJECT,UNDESIGNATED,NaN,4521.19,COMMUNICATIONS OFFICE,n/a,NaN,CENTRAL
30800,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AC, SOCCER",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,4532.554,NaN,NaN,Athletics,NaN
31691,Professional Salaries,Undistributed,NaN,ADM SUP-PUB INF,NaN,General,Superintendent,1,General Administration,NaN,NaN,89153.15,NaN,NaN,General Fund,NaN
33760,Copier Rental,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,44499.82,NaN,NaN,General Fund,NaN
35318,EMPLOYEE BENEFITS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,ELA General Assignment,NaN,NaN,NaN,NaN,STATE ELPA (ENG LANG PROF ACT),PARAPROFESSIONAL,NaN,1384.74,NaN,Regular,NaN,REGULAR INSTRUCTION
36160,Professional Salaries,Accelerated Education,NaN,SOCIAL SVCS SPE,NaN,General,Learning Support Services,1,Social Work Services,NaN,NaN,63457.32,NaN,NaN,General Fund,NaN
37855,Professional Salaries,Special Education,NaN,OCCUP THER,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,62543.19,NaN,NaN,General Fund,NaN
38078,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,35174.44,NaN,NaN,General Fund,NaN
38553,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,655.6211,NaN,NaN,General Fund,NaN
38813,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Nurse,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,402.88,NaN,n/a,NaN,EMPLOYEE BENEFITS
