,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
237,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,1.75E+02,NaN,NaN,General Purpose School,NaN
466,Extra Duty/Signing Bonus Pay,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,4.34E+04,NaN,NaN,General Fund,NaN
784,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,STAFF DEV AND INSTR MEDIA,0,INST STAFF TRAINING SVCS,NaN,NaN,7.51E+01,NaN,NaN,GENERAL FUND,TEACHER TRAINING
1786,TERMINAL LEAVE VACATION,NaN,NaN,INSPECTOR & SERVICE TECHNICIAN,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,5.27E+03,NaN,NaN,GENERAL FUND,TERMINAL LEAVE
2643,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Principal & Asst. Principal Support,Educator Quality,NaN,Curriculum & Instructional Staff Development,NaN,NaN,4.48E+04,NaN,NaN,General Fund,NaN
3602,Professional Salaries,Accelerated Education,NaN,CELL PHONE,NaN,General,Learning Support Services,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,4.37E+02,NaN,NaN,General Fund,NaN
5196,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,3.57E+04,NaN,NaN,General Fund,NaN
5233,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,NaN,NaN,School,0,BASIC (FEFP K-12),NaN,NaN,5.95E+01,NaN,NaN,GENERAL FUND,INTENSIVE READING DOP - SAI
6496,Professional Salaries,Undistributed,NaN,PROJ DIR,NaN,General,State/Federal Compliance & Accountability,0.102,Instructional Leadership,NaN,NaN,1.14E+04,NaN,NaN,General Fund,NaN
8074,Student Meals/Room/Other,High School Allotment,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5.00E+03,NaN,NaN,General Fund,NaN
