,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
198,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,NaN,Operation and Maintenance of Plant Services,NaN,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Care and Upkeep of Building Services,NaN,NaN,-8.29E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I CARRYOVER
209,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,NaN,PUPIL TRANSPORTATION,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,STUDENT TRANSPORT SERVICE,NaN,NaN,6.18E+02,PUPIL TRANSPORTATION,General Fund,NaN
750,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,NaN,NaN,TCHER 5TH GRADE,NaN,Regular Instruction,NaN,NaN,1,NaN,NaN,TEACHER,4.98E+04,Instruction - Regular,General Purpose School,NaN
931,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,General Supplies,NaN,NaN,NaN,NaN,NaN,General Supplies,NaN,NaN,Instruction,Instruction And Curriculum,NaN,-1.02E+00,"Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,NaN
1524,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,NaN,Community Services,NaN,NaN,NaN,Supplies And Materials,NaN,NaN,Other Community Services *,NaN,NaN,2.30E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PI+HOMELESS
1770,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ATHLETIC SUPPLEMENTS,NaN,NaN,COACHING SUPPLEMENT PAY,NaN,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,1.51E+03,NaN,GENERAL FUND,NaN
1951,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,CONFERENCE REGISTRATION,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,INST STAFF TRAINING SVCS,NaN,NaN,2.40E+03,NaN,GENERAL FUND,SCHOOL OPERATING ACCOUNT
2542,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,ARRA - STIMULUS,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,2.29E+02,SPECIAL EDUCATION-S/L-ATRT,NaN,SPECIAL EDUCATION
2640,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL,NaN,NaN,"MANAGER, GEOGRAPHIC INFO SYTMS",NaN,NaN,NaN,CHIEF OF OPERATIONS,1,"PLANNING,RES,DEV,& EVAL",NaN,NaN,1.05E+05,NaN,GENERAL FUND,NaN
2939,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Social Worker,n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,1.09E+03,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
3029,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-8.95E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
