Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2016-01-01,35,21,6,10,1,-9,80,50,19,30.6,30.49,30.39,10,10,7,20,9,22.0,0.00,0,,216
2016-01-02,41,29,16,11,4,-1,50,37,24,30.43,30.37,30.31,10,10,10,17,10,22.0,0.00,2,,205
2016-01-03,46,31,15,19,11,2,68,49,30,30.41,30.31,30.24,10,10,10,14,7,29.0,0.00,3,,193
2016-01-04,45,32,18,23,14,9,73,55,37,30.22,30.1,29.99,10,10,10,10,6,12.0,0.00,6,,154
2016-01-05,45,34,23,19,16,12,63,48,33,29.89,29.84,29.77,10,10,10,13,7,14.0,0.00,3,,246
2016-01-06,46,33,19,27,20,14,81,62,43,29.84,29.77,29.69,10,10,10,16,8,17.0,0.00,4,,166
2016-01-07,35,32,28,31,28,22,92,79,66,29.76,29.71,29.65,10,4,1,12,5,12.0,0.15,8,Snow,307
2016-01-08,29,24,18,27,19,15,92,83,74,30.08,29.89,29.71,9,2,0,16,6,19.0,0.23,8,Fog-Snow,38
2016-01-09,28,17,6,19,13,3,92,78,63,30.18,30.08,29.94,10,6,1,14,4,15.0,T,6,Snow,203
2016-01-10,32,19,5,16,8,2,88,71,53,30.21,30.12,30.01,10,6,0,21,8,22.0,T,1,Fog-Snow,242
2016-01-11,40,26,12,19,8,1,73,52,30,30.2,30.1,30.01,10,10,8,18,9,22.0,0.00,4,,202
2016-01-12,45,32,19,20,9,-2,63,43,23,30.24,30.13,30.01,10,10,10,18,9,22.0,0.00,5,,192
2016-01-13,51,37,22,26,18,11,68,50,31,30.1,29.9,29.65,10,10,10,21,12,24.0,0.00,5,,200
2016-01-14,44,36,28,16,13,7,43,37,30,29.72,29.66,29.58,10,10,10,32,15,38.0,0.00,2,,273
2016-01-15,33,26,19,20,15,10,84,62,39,29.96,29.81,29.68,10,9,2,20,10,23.0,0.01,6,Snow,124
2016-01-16,37,24,11,18,13,6,88,59,29,30.11,29.99,29.91,10,10,10,13,7,17.0,0.00,5,,170
2016-01-17,38,25,12,23,15,9,92,70,47,30.16,30.03,29.9,10,6,0,14,6,16.0,0.00,4,Fog,276
2016-01-18,51,37,22,30,20,13,69,49,28,30.06,29.95,29.85,10,10,10,15,7,16.0,0.00,5,,160
2016-01-19,40,33,26,31,26,20,89,67,44,30.19,30.06,29.88,10,8,1,28,9,33.0,0.01,6,Snow,333
2016-01-20,49,37,25,24,19,13,69,48,27,30.08,29.88,29.74,10,10,10,21,10,26.0,0.00,6,,289
2016-01-21,40,31,21,21,17,13,77,57,37,30.35,30.27,30.08,10,10,10,16,8,19.0,0.00,4,,350
2016-01-22,52,37,21,31,22,13,77,58,38,30.29,30.16,29.96,10,10,10,16,10,19.0,0.00,3,,194
2016-01-23,57,45,32,27,22,19,75,51,26,30.0,29.87,29.73,10,10,9,15,7,16.0,0.00,6,,186
2016-01-24,45,37,28,28,24,20,78,62,45,29.8,29.68,29.57,10,10,6,22,9,25.0,T,6,Snow,339
2016-01-25,37,28,18,27,22,14,85,71,56,30.26,30.04,29.8,10,9,2,23,11,30.0,T,6,Snow,40
2016-01-26,42,30,18,16,13,8,84,54,24,30.34,30.26,30.19,10,10,10,17,10,21.0,0.00,1,,190
2016-01-27,52,38,24,24,19,12,72,50,28,30.27,30.2,30.15,10,10,10,15,8,19.0,0.00,3,,189
2016-01-28,58,43,27,25,22,19,69,46,23,30.21,30.02,29.77,10,10,10,17,11,19.0,0.00,1,,204
2016-01-29,55,45,35,25,20,15,59,42,24,29.82,29.72,29.56,10,10,10,30,11,37.0,0.00,4,,212
2016-01-30,65,47,28,32,27,21,92,58,24,29.74,29.59,29.36,10,7,1,28,9,31.0,0.10,7,Snow,118
2016-01-31,34,28,22,26,22,19,92,76,59,29.96,29.84,29.65,10,7,2,17,8,21.0,T,8,Snow,141
2016-02-01,30,26,22,26,23,19,92,87,81,29.79,29.61,29.5,10,3,0,25,13,30.0,0.33,8,Fog-Snow,96
2016-02-02,22,16,9,19,15,7,92,83,73,30.12,29.89,29.66,10,4,0,24,15,28.0,0.15,8,Snow,332
2016-02-03,28,15,1,5,0,-6,87,60,32,30.38,30.25,30.12,10,10,10,17,10,20.0,0.00,3,,237
2016-02-04,34,20,6,18,5,-6,68,57,46,30.31,30.27,30.22,10,10,10,21,10,24.0,0.00,5,,225
