district_name,n_trees
Amérique,728
Archives,34
Arsenal,213
Arts-et-Metiers,79
Auteuil,1474
Batignolles,501
Bel-Air,1674
Belleville,268
Bercy,554
Bonne-Nouvelle,30
Chaillot,502
Champs-Elysées,830
Charonne,712
Chaussée-d'Antin,46
Clignancourt,451
Combat,764
Croulebarbe,340
Ecole-Militaire,402
Enfants-Rouges,91
Epinettes,334
Europe,324
Faubourg-Montmartre,22
Faubourg-du-Roule,191
Folie-Méricourt,219
Gaillon,18
Gare,1088
Goutte-d'Or,165
Grandes-Carrières,563
Grenelle,407
Gros-Caillou,836
Halles,149
Hôpital-Saint-Louis,275
Invalides,375
Jardin-des-Plantes,162
Javel 15Art,1364
La Chapelle,405
Madeleine,160
Mail,16
Maison-Blanche,1124
Monnaie,48
Montparnasse,526
Muette,1018
Necker,407
Notre-Dame,93
Notre-Dame-des-Champs,72
Odeon,152
Palais-Royal,6
Parc-de-Montsouris,502
Petit-Montrouge,450
Picpus,1866
Place-Vendôme,17
Plaine de Monceaux,485
Plaisance,500
Pont-de-Flandre,572
Porte-Dauphine,848
Porte-Saint-Denis,55
Porte-Saint-Martin,151
Père-Lachaise,478
Quinze-Vingts,371
Rochechouart,75
Roquette,254
Saint-Ambroise,254
Saint-Fargeau,513
Saint-Georges,58
Saint-Germain-des-Prés,45
Saint-Gervais,112
Saint-Lambert,945
Saint-Merri,93
Saint-Thomas-d'Aquin,104
Saint-Victor,157
Saint-Vincent-de-Paul,114
Sainte-Avoie,32
Sainte-Marguerite,292
Salpêtrière,315
Sorbonne,79
St-Germain-l'Auxerrois,152
Ternes,556
Val-de-Grace,61
Villette,439
Vivienne,19
