type,x,y
European restuarant,259641.69164572324,6251867.062617987
Traditional French restaurant,259572.33960295672,6252029.683163137
Traditional French restaurant,259657.2763744336,6252143.400946027
Indian / Middle Eastern restaurant,259684.43833018694,6252203.137238394
Traditional French restaurant,259597.94308584128,6252230.044091299
European restuarant,259522.02319312032,6252189.091556688
Asian restaurant,259718.8360528421,6252426.179017121
Asian restaurant,259613.8617730225,6252385.902449455
Asian restaurant,259257.3054440124,6252073.342488472
Asian restaurant,259227.02654251587,6252109.725431529
Traditional French restaurant,259037.89472765804,6252203.644914069
Traditional French restaurant,258766.05253114234,6252317.5342605645
Asian restaurant,262506.83269975946,6245755.234396473
Asian restaurant,262523.08534541435,6245720.907885234
Asian restaurant,262659.785680108,6245459.320763907
Asian restaurant,262613.92204990116,6245544.881015065
Asian restaurant,262954.7823307125,6244895.591616538
Asian restaurant,262835.5591560717,6244744.7742203465
Asian restaurant,263026.36076329235,6244755.933263084
Asian restaurant,262867.3965304398,6244735.813181511
Asian restaurant,262801.8293503611,6244265.9636834785
Asian restaurant,263134.34066936106,6244530.388191672
Traditional French restaurant,264916.12043899903,6250983.449680954
European restuarant,265335.23832183593,6251448.426382928
Indian / Middle Eastern restaurant,260414.02627284455,6249671.398715304
Traditional French restaurant,260332.42908609335,6249484.970311575
Traditional French restaurant,260309.0519930278,6249854.786012343
Traditional French restaurant,260096.76572408405,6249730.948398582
European restuarant,260016.28173224235,6249741.098954536
Traditional French restaurant,260016.28173224235,6249741.098954536
European restuarant,260047.4511896631,6249877.455935512
Traditional French restaurant,260007.4874924689,6249874.072361037
Traditional French restaurant,259865.5551417071,6249770.197282366
Traditional French restaurant,259838.72714442748,6249767.152103841
European restuarant,259918.98849728671,6249765.29116195
European restuarant,259784.06927444713,6249737.8846105
Traditional French restaurant,259917.98662187127,6249326.120308645
Traditional French restaurant,259917.98662187127,6249326.120308645
European restuarant,255036.29299211485,6249885.407340845
Asian restaurant,254798.51455977777,6249739.238018369
Asian restaurant,255114.8845526141,6249608.465982315
European restuarant,255122.7882364605,6249560.420877249
European restuarant,255140.26539651334,6249470.083283833
European restuarant,257718.75876175927,6248395.74880071
Asian restaurant,256348.41583009422,6248974.597026621
Traditional French restaurant,256281.6241356176,6249028.051984641
Asian restaurant,256265.70544843352,6248747.924686842
Traditional French restaurant,256534.096740738,6248921.649884918
Indian / Middle Eastern restaurant,256565.1548786675,6248907.2713253
Traditional French restaurant,256577.2887031638,6248900.84327125
Traditional French restaurant,256436.58086680272,6249031.7735449085
Traditional French restaurant,259278.67878624424,6252820.662585728
Traditional French restaurant,259231.59064163946,6252745.3522054665
Asian restaurant,259673.08374212644,6252682.396626285
European restuarant,259616.64476029485,6252721.659190633
